date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:51	311213/311213	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Jul%202022%2017:20:00%20GMT	https://cosmicdrifts.net/logos/sp-1080x1080.jpg	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/logos/sp-1080x1080.jpg	(from https://cosmicdrifts.net/early-access)
16:34:51	683/683	---MC-	302	error ('Found')	text/html	date:Sat,%2017%20Dec%202022%2013:34:51%20GMT	https://cosmicdrifts.net/cosmicdrift_betav2.05.exe%22	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/cosmicdrift_betav2.05.exe_	(from https://cosmicdrifts.net/early-access)
16:34:52	51486/51486	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Jul%202022%2017:20:00%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/1FALLopSF7nX6menI8Y9XX/78782ea6bc6de9c31a7abb158360cfaf/packageplate_1_PLACEHOLDER50cd50cd.jpg?q=50&w=3840	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/1FALLopSF7nX6menI8Y9XX/78782ea6bc6de9c31a7abb158360cfaf/packageplate_1_PLACEHOLDER50cd50cd50cd.jpg	(from https://cosmicdrifts.net/early-access)
16:34:53	62188/62188	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Jul%202022%2017:20:02%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/mdkcnsr22jwdIpnTMrzv6/e26fec2749304996f36b2b7a8287c12a/Flashy_entrance50cd50cd.jpg?q=50&w=3840	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/mdkcnsr22jwdIpnTMrzv6/e26fec2749304996f36b2b7a8287c12a/Flashy_entrance50cd50cd50cd.jpg	(from https://cosmicdrifts.net/early-access)
16:34:53	294552/294552	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:20:02%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/6OG5m9Is6tGBf1ybXU4C2Q/205b467f39c3654104ad860ada5708e3/SP_Foreground_Group_1095x1320_faded75b575b5.png?q=80&w=3840	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/6OG5m9Is6tGBf1ybXU4C2Q/205b467f39c3654104ad860ada5708e3/SP_Foreground_Group_1095x1320_faded75b575b575b5.png	(from https://cosmicdrifts.net/early-access)
16:34:54	683/683	---MC-	302	error ('Found')	text/html	date:Sat,%2017%20Dec%202022%2013:34:54%20GMT	https://cosmicdrifts.net/F.html	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/F.html	(from https://cosmicdrifts.net/early-access)
16:34:54	248515/248515	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:20:04%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/6K2QLAZ3LGFIOoh339J4t3/6b43208ec8c94dcac30f9f5b5cac0c99/SP_Foreground_Teleport_1095x132075b575b5.png?q=80&w=3840	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/6K2QLAZ3LGFIOoh339J4t3/6b43208ec8c94dcac30f9f5b5cac0c99/SP_Foreground_Teleport_1095x132075b575b575b5.png	(from https://cosmicdrifts.net/early-access)
16:34:54	683/683	---MC-	302	error ('Found')	text/html	date:Sat,%2017%20Dec%202022%2013:34:54%20GMT	https://cosmicdrifts.net/cookies.html	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/cookies.html	(from https://cosmicdrifts.net/early-access)
16:34:54	683/683	---MC-	302	error ('Found')	text/html	date:Sat,%2017%20Dec%202022%2013:34:54%20GMT	https://cosmicdrifts.net/cosmicdrift_betav2.05.exe%22	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/cosmicdrift_betav2.05.exe_	(from https://cosmicdrifts.net/updates)
16:34:54	683/683	---MC-	302	error ('Found')	text/html	date:Sat,%2017%20Dec%202022%2013:34:54%20GMT	https://cosmicdrifts.net/cosmicdrift_betav2.05.exe%22	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/cosmicdrift_betav2.05.exe_	(from https://cosmicdrifts.net/updates)
16:34:54	683/683	---MC-	302	error ('Found')	text/html	date:Sat,%2017%20Dec%202022%2013:34:55%20GMT	https://cosmicdrifts.net/cookies.html	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/cookies.html	(from https://cosmicdrifts.net/updates)
16:35:14	46318585/46318585	---M--	200	added ('OK')	application/x-msdownload	date:Fri,%2016%20Dec%202022%2014:20:22%20GMT	https://cosmicdrifts.net/cosmicdrift_betav2.05.exe	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/cosmicdrift_betav2.05.exe	(from https://cosmicdrifts.net/)
